,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,61,2,2020-03-06,23,SAS,@,BRK,L (-19),0,11,0,2,0.0,0,1,0.0,0,0,,0,1,1,1,0,0,0,0,0,-0.4,8.0
3,64,4,2020-07-31,23,SAS,,SAC,W (+9),0,10,2,5,0.4,0,1,0.0,0,0,,0,1,1,2,1,0,1,1,4,2.6,0.0
5,66,6,2020-08-03,23,SAS,@,PHI,L (-2),0,19,1,2,0.5,1,2,0.5,0,0,,1,1,2,3,1,1,1,3,3,4.6,-3.0
6,67,7,2020-08-05,23,SAS,,DEN,L (-6),0,9,0,1,0.0,0,0,,0,0,,0,1,1,0,1,0,0,0,0,0.6,3.0
7,68,8,2020-08-07,23,SAS,,UTA,W (+8),0,8,2,5,0.4,0,1,0.0,0,0,,0,0,0,2,0,0,1,1,4,1.3,-5.0
9,70,10,2020-08-11,23,SAS,,HOU,W (+18),0,8,0,1,0.0,0,0,,0,0,,0,0,0,2,0,0,1,2,0,-1.1,-6.0
13,21,3,2021-02-01,24,SAS,,MEM,L (-31),0,6,0,0,,0,0,,0,0,,0,1,1,3,1,0,3,0,0,0.4,-9.0
15,26,5,2021-02-12,24,SAS,@,ATL,W (+11),0,10,1,3,0.333,0,1,0.0,0,0,,0,1,1,0,0,0,1,6,2,-2.8,-20.0
16,35,6,2021-03-14,24,SAS,@,PHI,L (-35),0,11,1,2,0.5,0,0,,0,0,,0,1,1,1,3,1,1,0,2,4.7,2.0
19,41,9,2021-03-24,24,SAS,,LAC,L (-33),0,6,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-9.0
23,48,13,2021-04-05,24,SAS,,CLE,L (-24),0,8,0,1,0.0,0,0,,2,2,1.0,0,1,1,0,1,0,0,1,2,2.2,0.0
24,49,14,2021-04-07,24,SAS,@,DEN,L (-10),0,5,3,4,0.75,0,0,,1,2,0.5,2,0,2,0,0,0,0,0,7,6.4,7.0
25,52,15,2021-04-12,24,SAS,@,ORL,W (+23),0,6,0,0,,0,0,,2,2,1.0,0,0,0,1,0,1,0,1,2,3.0,-3.0
28,67,18,2021-05-08,24,SAS,@,POR,L (-22),0,5,0,1,0.0,0,1,0.0,3,4,0.75,0,0,0,1,0,0,0,0,3,2.6,2.0
29,71,19,2021-05-15,24,SAS,,PHO,L (-37),0,28,5,12,0.417,0,2,0.0,3,4,0.75,0,4,4,0,1,0,1,4,13,5.8,-6.0
30,72,20,2021-05-16,24,SAS,,PHO,L (-2),0,12,5,6,0.833,1,1,1.0,0,0,,1,0,1,2,1,0,0,1,11,11.5,2.0
